b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
212.76,212.76,0,106,53,0,106,7544.4696,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
152.76,152.76,0,60,30,0,60,3889.2696,0,
210,210,0,90,45,0,90,7350,0,
212,212,0,90,45,0,90,7490.666667,0,
214,214,0,90,45,0,90,7632.666667,0,
216,216,0,90,45,0,90,7776,0,
218,218,0,90,45,0,90,7920.666667,0,
280,280,0,150,75,0,150,13066.66667,0,
330,330,0,150,75,0,150,18150,0,
380,380,0,150,75,0,150,24066.66667,0,
430,430,0,150,75,0,150,30816.66667,0,
480,480,0,150,75,0,150,38400,0,
204,204,0,90,45,0,90,6936,0,
204,204,0,90,45,0,90,6936,0,
204,204,0,90,45,0,90,6936,0,
204,204,0,90,45,0,90,6936,0,
204,204,0,90,45,0,90,6936,0,
204,204,0,20.5,10.25,0,20.5,6936,0,
204,204,0,40,20,0,40,6936,0,
204,204,0,60,30,0,60,6936,0,
204,204,0,102,51,0,102,6936,0,
204,204,0,143,71.5,0,143,6936,0,
204,204,0,163,81.5,0,163,6936,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
280,280,0,150,75,0,150,13066.66667,0,
114,114,0,32,16,0,32,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,88,44,0,88,2166,0,
180,180,0,30,15,0,30,5400,0,
180,180,0,60,30,0,60,5400,0,
180,180,0,108,54,0,108,5400,0,
180,180,0,140,70,0,140,5400,0,
100,100,0,60,30,0,60,1666.666667,0,
130,130,0,80,40,0,80,2816.666667,0,
230,230,0,140,70,0,140,8816.666667,0,
114,114,52,58,0,52,58,2382.619551,2,
114,114,52,58,0,52,58,2382.619551,2,
93.6,143.6,38.6,75,0,68.6,45,1708.486667,1,
93.6,143.6,38.6,75,0,68.6,45,1708.486667,1,
87.76,87.76,45.12,50,0,45.12,50,1236.561361,2,
87.76,87.76,45.12,50,0,45.12,50,1236.561361,2,
92.48,92.48,45.12,50,0,45.12,50,1457.262959,2,
92.48,92.48,45.12,50,0,45.12,50,1457.262959,2,
94.32,94.32,45.12,50,0,45.12,50,1551.240701,2,
94.32,94.32,45.12,50,0,45.12,50,1551.240701,2,
96.38,96.38,45.12,50,0,45.12,50,1661.885306,2,
96.38,96.38,45.12,50,0,45.12,50,1661.885306,2,
114,154,54,60,0,54,60,2652,1,
114,154,54,80,0,74,60,3385.072415,2,
114,154,54,100,0,94,60,2286.284638,2,
124,164,54,60,0,54,60,3048.666667,1,
124,164,54,80,0,74,60,4482.536736,2,
124,164,54,100,0,94,60,2995.585342,2,
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
72,72,32,60,0,32,60,1034.67,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
152.76,152.76,47.58,53,0,47.58,53,7354.956486,2,
152.76,152.76,47.58,53,0,47.58,53,7354.956486,2,
74.08,114.08,14.72,19.9,0,14.72,19.9,950.7541333,1,
74.1,114.1,15.56,20,0,14.66,20.9,955.4872667,1,
74.04,114.04,15.68,19.9,0,14.68,20.9,954.6306667,1,
74.06,114.06,17.26,20.3,0,17.26,20.3,963.7985333,1,
73.94,114.04,17.14,20.2,0,17.14,20.2,960.1505333,1,
73.96,114.06,17.12,20.2,0,17.12,20.2,960.5293333,1,
73.98,114.08,17.14,20.2,0,17.14,20.2,961.1366667,1,
72.14,92.24,14.8,20,0,14.8,20,903.8699333,1,
72.22,92.42,14.7,20,0,14.7,20,905.3030667,1,
191.2,191.2,111.3,120,0,111.3,120,5323.367927,2,
191.2,191.2,111.3,120,0,111.3,120,5323.367927,2,
191.2,191.2,111.3,120,0,111.3,120,5323.367927,2,
191.2,191.2,111.3,120,0,111.3,120,5323.367927,2,
191.2,191.2,111.3,120,0,111.3,120,5323.367927,2,
94,94,32.32,40,0,32.32,40,2073.204817,2,
93.88,93.88,32.28,40,0,32.28,40,2065.005875,2,
93.94,93.94,32.26,40,0,32.26,40,2069.677426,2,
93.92,93.92,32.28,40,0,32.28,40,2067.927816,2,
93.94,93.94,37.56,40.4,0,37.56,40.4,1978.457732,2,
93.9,93.9,37.52,40.4,0,37.52,40.4,1976.191885,2,
93.9,93.9,37.52,40.4,0,37.52,40.4,1976.191885,2,
152.76,152.76,47.6,53,0,47.6,53,7351.795073,2,
494,494,344,350,0,344,350,33122.30778,2,
494,494,394,400,0,394,400,33027.35245,2,
114,154,54,60,0,54,60,2652,1,
114,154,54,80,0,74,60,3385.072415,2,
114,154,54,100,0,94,60,2286.284638,2,
124,164,54,60,0,54,60,3048.666667,1,
87.8,87.8,45.12,50,0,45.12,50,1238.31101,2,
92.47,92.47,45.12,50,0,45.12,50,1456.764561,2,
230,280,85,150,0,135,100,11933.4831,2,
230,280,90,150,0,140,100,11783.22444,2,
230,280,92.5,150,0,142.5,100,11711.12315,2,
230,280,94,150,0,144,100,11668.78928,2,
230,280,85,150,0,135,100,11933.4831,2,
230,280,90,150,0,140,100,11783.22444,2,
230,280,92.5,150,0,142.5,100,11711.12315,2,
230,280,94,150,0,144,100,11668.78928,2,
230,280,85,150,0,135,100,11933.4831,2,
230,280,90,150,0,140,100,11783.22444,2,
230,280,92.5,150,0,142.5,100,11711.12315,2,
230,280,94,150,0,144,100,11668.78928,2,
235,285,85,150,0,135,100,12809.93613,2,
235,285,90,150,0,140,100,12643.07343,2,
235,285,92.5,150,0,142.5,100,12563.01093,2,
235,285,94,150,0,144,100,12515.99965,2,
235,285,85,150,0,135,100,12809.93613,2,
235,285,90,150,0,140,100,12643.07343,2,
235,285,92.5,150,0,142.5,100,12563.01093,2,
235,285,94,150,0,144,100,12515.99965,2,
235,285,85,150,0,135,100,12809.93613,2,
235,285,90,150,0,140,100,12643.07343,2,
235,285,92.5,150,0,142.5,100,12563.01093,2,
235,285,94,150,0,144,100,12515.99965,2,
238,288,85,150,0,135,100,13358.35422,2,
238,288,90,150,0,140,100,13180.77147,2,
238,288,92.5,150,0,142.5,100,13095.59833,2,
238,288,94,150,0,144,100,13045.59226,2,
238,288,85,150,0,135,100,13358.35422,2,
238,288,90,150,0,140,100,13180.77147,2,
238,288,92.5,150,0,142.5,100,13095.59833,2,
238,288,94,150,0,144,100,13045.59226,2,
238,288,85,150,0,135,100,13358.35422,2,
238,288,90,150,0,140,100,13180.77147,2,
238,288,92.5,150,0,142.5,100,13095.59833,2,
238,288,94,150,0,144,100,13045.59226,2,
240,290,85,150,0,135,100,13733.73104,2,
240,290,90,150,0,140,100,13548.63013,2,
240,290,92.5,150,0,142.5,100,13459.88835,2,
240,290,94,150,0,144,100,13407.79523,2,
240,290,85,150,0,135,100,13733.73104,2,
240,290,90,150,0,140,100,13548.63013,2,
240,290,92.5,150,0,142.5,100,13459.88835,2,
240,290,94,150,0,144,100,13407.79523,2,
240,290,85,150,0,135,100,13733.73104,2,
240,290,90,150,0,140,100,13548.63013,2,
240,290,92.5,150,0,142.5,100,13459.88835,2,
240,290,94,150,0,144,100,13407.79523,2,
174,174,28.8,34.8,0,28.8,34.8,5184.24,1,
174,174,46.2,52.2,0,46.2,52.2,5401.74,1,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,81,87,0,81,87,5634.191887,2,
174,174,98.4,104.4,0,98.4,104.4,4597.17519,2,
174,174,115.8,121.8,0,115.8,121.8,4099.796423,2,
174,174,133.2,139.2,0,133.2,139.2,8003.04,,όΩιό│Χόι╣όΞχύ╗βίχγίΠΓόΧ░ύκχίχγϋχκύχΩίε║όβψΎ╝Νϋψ╖όμΑόθξίΘιϊ╜ΧίΠΓόΧ░όαψίΡοίΡΙύΡ?
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
174,174,63.6,69.6,0,63.6,69.6,7482.79802,2,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
168,168,28.8,34.8,0,28.8,34.8,4842.24,1,
0,102.59,37.14,40.14,0,37.14,40.14,229.8966,0,
0,105.09,36.54,40.14,0,36.54,40.14,222.5286,0,
0,107.47,36.54,40.14,0,36.54,40.14,222.5286,0,
0,108.49,36.54,40.14,0,36.54,40.14,222.5286,0,
0,132.83,60.23,65.17,0,60.23,65.17,604.6088167,0,
0,133.79,60.23,65.17,0,60.23,65.17,604.6088167,0,
0,158.3,69.49,75.29,0,69.49,75.29,804.8100167,0,
0,159.38,69.49,75.29,0,69.49,75.29,804.8100167,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,86,32,60,0,32,60,170.6666667,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,83,41.5,0,83,0,0,
0,189.76,0,83,41.5,0,83,0,0,
0,189.76,0,136,68,0,136,0,0,
0,189.76,0,136,68,0,136,0,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,83,41.5,0,83,6001.476267,0,
189.76,189.76,0,83,41.5,0,83,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
189.76,189.76,0,136,68,0,136,6001.476267,0,
0,342.36,0,231,115.5,0,231,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,321.36,0,210,105,0,210,0,0,
0,321.36,0,210,105,0,210,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,274.36,0,180,90,0,180,0,0,
0,274.36,0,180,90,0,180,0,0,
0,227.36,0,150,75,0,150,0,0,
0,227.36,0,150,75,0,150,0,0,
0,278,0,140,70,0,140,0,0,
0,278,0,170,85,0,170,0,0,
0,228,0,140,70,0,140,0,0,
0,248,0,110,55,0,110,0,0,
0,278,0,140,70,0,140,0,0,
0,278,0,170,85,0,170,0,0,
0,228,0,140,70,0,140,0,0,
0,248,0,110,55,0,110,0,0,
0,331.76,0,278,139,0,278,0,0,
0,275.76,0,222,111,0,222,0,0,
0,275.76,0,222,111,0,222,0,0,
0,274.06,0,192,96,0,192,0,0,
0,270.06,0,192,96,0,192,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,174.44,0,135,67.5,0,135,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,169.44,0,130,65,0,130,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,164.44,0,125,62.5,0,125,0,0,
0,334,0,274,137,0,274,0,0,
0,294,0,234,117,0,234,0,0,
0,334,0,254,127,0,254,0,0,
0,334,0,234,117,0,234,0,0,
0,333,0,274,137,0,274,0,0,
0,335,0,274,137,0,274,0,0,
0,392,0,332,166,0,332,0,0,
0,154.44,0,105,52.5,0,105,0,0,
0,154.44,0,105,52.5,0,105,0,0,
0,154.44,0,121,60.5,0,121,0,0,
0,154.44,0,121,60.5,0,121,0,0,
0,163.44,0,111,55.5,0,111,0,0,
0,163.44,0,111,55.5,0,111,0,0,
0,163.44,0,128,64,0,128,0,0,
0,163.44,0,128,64,0,128,0,0,
0,173.44,0,118,59,0,118,0,0,
0,173.44,0,118,59,0,118,0,0,
0,173.44,0,136,68,0,136,0,0,
0,173.44,0,136,68,0,136,0,0,
0,268.84,0,81,40.5,0,81,0,0,
0,268.84,0,162,81,0,162,0,0,
0,268.84,0,162,81,0,162,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,268.84,0,243,121.5,0,243,0,0,
0,291.84,0,104,52,0,104,0,0,
0,291.84,0,185,92.5,0,185,0,0,
0,291.84,0,266,133,0,266,0,0,
0,291.84,0,266,133,0,266,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,321.36,0,210,105,0,210,0,0,
0,300.36,0,189,94.5,0,189,0,0,
0,274.36,0,180,90,0,180,0,0,
0,163.44,0,122,61,0,122,0,0,
0,163.44,0,139,69.5,0,139,0,0,
0,172.44,0,129,64.5,0,129,0,0,
0,172.44,0,147,73.5,0,147,0,0,
0,428.42,0,344,172,0,344,0,0,
0,428.42,0,344,172,0,344,0,0,
0,426.36,0,344,172,0,344,0,0,
0,426.36,0,344,172,0,344,0,0,
0,422.4,0,344,172,0,344,0,0,
0,422.4,0,294,147,0,294,0,0,
0,422.4,0,294,147,0,294,0,0,
0,422.4,0,294,147,0,294,0,0,
0,348.84,0,283,141.5,0,283,0,0,
0,348.84,0,283,141.5,0,283,0,0,
